Route Number,ETA,Distance,Route,Time
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:37:32 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:37:44 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:37:58 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:38:08 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:38:18 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:38:28 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:38:37 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:38:46 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:38:54 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:39:02 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:39:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:39:19 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:39:29 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:39:38 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:39:47 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:39:56 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:40:04 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:40:13 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:40:21 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:40:28 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:40:38 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:40:45 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:40:54 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:41:03 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:41:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:41:20 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:41:29 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:41:36 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:41:45 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:41:53 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:42:02 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:42:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:42:19 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:42:28 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:42:35 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:42:43 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:42:52 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:43:01 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:43:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:43:19 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:43:27 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:43:36 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:43:44 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:43:52 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:44:01 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:44:09 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:44:16 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:44:25 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:44:33 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:44:41 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:44:50 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:44:58 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:45:06 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:45:15 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:45:22 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:45:29 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:45:38 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:45:47 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:45:54 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:46:04 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:46:13 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:46:21 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:46:30 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:46:38 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:46:52 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:47:03 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:47:14 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:47:21 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:47:29 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:47:38 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:47:46 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:47:55 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:48:04 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:48:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:48:25 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:48:32 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:48:42 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:48:49 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:48:57 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:49:06 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:49:14 2018
1,17 min,21.1 miles,I-15 S,Fri Sep 28 11:49:21 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:49:31 2018
1,17 min,21.1 miles,I-15 S,Fri Sep 28 11:49:39 2018
1,17 min,21.1 miles,I-15 S,Fri Sep 28 11:49:47 2018
1,17 min,21.1 miles,I-15 S,Fri Sep 28 11:49:56 2018
1,17 min,21.1 miles,I-15 S,Fri Sep 28 11:50:04 2018
1,17 min,21.1 miles,I-15 S,Fri Sep 28 11:50:12 2018
1,17 min,21.1 miles,I-15 S,Fri Sep 28 11:50:21 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:50:28 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:50:35 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:50:45 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:50:53 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:51:01 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:51:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:51:19 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:51:27 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:51:36 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:51:44 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:51:52 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:52:00 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:52:08 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:52:15 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:52:24 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:52:32 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:52:40 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:52:50 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:52:57 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:53:05 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:53:14 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:53:21 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:53:28 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:53:38 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:53:46 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:53:53 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:54:03 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:54:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:54:19 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:54:27 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:54:36 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:54:44 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:54:52 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:55:01 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:55:09 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:55:18 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:55:26 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:55:34 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:55:44 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:55:51 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:56:00 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:56:08 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:56:16 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:56:24 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:56:33 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:56:41 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:56:48 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:56:57 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:57:05 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:57:14 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:57:22 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:57:30 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:57:39 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:57:47 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:57:54 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:58:02 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:58:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:58:19 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:58:28 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:58:36 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:58:44 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:58:53 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:59:02 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:59:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:59:24 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:59:33 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:59:41 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 11:59:49 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:00:04 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:00:16 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:00:26 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:00:33 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:00:42 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:00:50 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:00:58 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:01:07 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:01:15 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:01:23 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:01:33 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:01:40 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:01:54 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:02:02 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:02:15 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:02:23 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:02:32 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:02:40 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:02:50 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:02:58 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:03:14 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:03:21 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:03:29 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:03:38 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:03:45 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:03:53 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:04:03 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:04:11 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:04:19 2018
1,18 min,21.1 miles,I-15 S,Fri Sep 28 12:04:28 2018
