Route Number,ETA,Distance,Route,Time
1,20 min,21 mi,via I-15,Fri Sep 28 14:06:15 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:06:15 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:06:24 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:06:24 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:06:30 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:06:30 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:06:37 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:06:37 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:06:44 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:06:44 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:06:50 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:06:50 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:06:57 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:06:57 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:03 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:03 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:10 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:10 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:16 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:16 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:23 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:23 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:30 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:30 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:36 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:36 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:43 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:43 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:49 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:49 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:07:56 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:07:56 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:02 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:02 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:09 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:09 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:16 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:16 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:22 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:22 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:29 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:29 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:35 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:35 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:42 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:42 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:48 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:48 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:08:55 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:08:55 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:01 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:01 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:08 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:08 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:15 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:15 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:21 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:21 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:28 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:28 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:34 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:34 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:41 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:41 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:47 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:47 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:09:54 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:09:54 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:10:01 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:10:01 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:10:07 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:10:07 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:10:14 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:10:14 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:10:20 2018
