Route Number,ETA,Distance,Route,Time
1,17 min,21 miles,I-15 S,Fri Sep 28 14:06:23 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:06:23 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:06:37 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:06:37 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:06:49 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:06:49 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:07:02 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:07:02 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:07:13 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:07:13 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:07:25 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:07:25 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:07:38 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:07:38 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:07:51 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:07:51 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:08:03 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:08:03 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:08:15 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:08:15 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:08:27 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:08:27 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:08:39 2018
2,21 min,21.4 miles,I-15 S Temecula; Old Hwy 395 Fallbrook,Fri Sep 28 14:08:39 2018
1,17 min,21 miles,I-15 S,Fri Sep 28 14:08:51 2018
