Route Number,ETA,Distance,Route,Time
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:37:36 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:37:36 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:37:53 2018
2,38 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:37:53 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:38:07 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:38:07 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:38:19 2018
2,38 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:38:19 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:38:32 2018
2,38 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:38:32 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:38:45 2018
2,38 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:38:45 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:38:57 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:38:57 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:39:09 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:39:09 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:39:22 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:39:22 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:39:34 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:39:34 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:39:46 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:39:46 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:39:58 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:39:58 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:40:11 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:40:11 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:40:23 2018
2,38 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:40:23 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:40:35 2018
2,38 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:40:35 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:40:48 2018
2,38 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:40:48 2018
1,31 min,33.3 miles,I-95 N,Fri Sep 28 00:41:00 2018
2,38 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:41:00 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:41:13 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:41:13 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:41:25 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:41:25 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:41:37 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:41:37 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:41:50 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:41:50 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:42:02 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:42:02 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:42:14 2018
2,37 min,33.6 miles,I-95 N; Jefferson Davis Hwy Woodbridge,Fri Sep 28 00:42:14 2018
1,30 min,33.3 miles,I-95 N,Fri Sep 28 00:42:27 2018
