Route Number,ETA,Distance,Route,Time
1,23 min,16 mi,via I-90,Fri Sep 28 00:56:33 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:56:47 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:56:53 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:00 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:06 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:13 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:20 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:26 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:33 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:39 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:46 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:52 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:57:59 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:05 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:12 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:18 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:25 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:31 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:38 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:44 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:51 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:58:57 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:04 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:11 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:17 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:24 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:30 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:37 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:44 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:50 2018
1,23 min,16 mi,via I-90,Fri Sep 28 00:59:57 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:04 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:11 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:17 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:24 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:30 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:37 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:43 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:50 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:00:57 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:03 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:10 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:16 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:23 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:30 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:36 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:43 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:49 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:01:56 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:03 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:10 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:16 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:23 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:30 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:37 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:43 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:50 2018
1,23 min,16 mi,via I-90,Fri Sep 28 01:02:56 2018
