Route Number,ETA,Distance,Route,Time
1,19min,16.4mi,via I-94 W,Fri Sep 28 00:56:39 2018
1,19min,16.4mi,via I-94 W,Fri Sep 28 00:56:50 2018
1,19min,16.4mi,via I-94 W,Fri Sep 28 00:56:57 2018
1,18min,16.4mi,via I-94 W,Fri Sep 28 00:57:05 2018
1,18min,16.4mi,via I-94 W,Fri Sep 28 00:57:11 2018
1,18min,16.4mi,via I-94 W,Fri Sep 28 00:57:16 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:57:23 2018
1,18min,16.4mi,via I-94 W,Fri Sep 28 00:57:29 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:57:36 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:57:42 2018
1,18min,16.4mi,via I-94 W,Fri Sep 28 00:57:48 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:57:56 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:02 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:08 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:15 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:22 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:28 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:34 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:42 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:49 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:58:55 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:01 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:08 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:14 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:20 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:26 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:33 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:39 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:45 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:53 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 00:59:58 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:00:10 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:00:16 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:00:24 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:00:31 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:00:37 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:00:44 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:00:55 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:01:01 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:01:07 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:01:14 2018
1,17min,16.4mi,via I-94 W,Fri Sep 28 01:01:20 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:01:27 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:01:34 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:01:41 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:01:47 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:01:53 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:02:01 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:02:09 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:02:16 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:02:23 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:02:30 2018
1,16min,16.4mi,via I-94 W,Fri Sep 28 01:02:40 2018
