Route Number,ETA,Distance,Route,Time
1,18 min,16.9 miles,"Kennedy Expwy E, Kennedy Expwy Express Lanes, Dan Ryan Expwy E Chicago",Fri Sep 28 01:23:37 2018
2,25 min,17.3 miles,"Kennedy Expwy E, N Milwaukee Ave, Dan Ryan Expwy E Chicago",Fri Sep 28 01:23:37 2018
1,18 min,16.9 miles,"Kennedy Expwy E, Kennedy Expwy Express Lanes, Dan Ryan Expwy E Chicago",Fri Sep 28 01:23:51 2018
2,25 min,17.3 miles,"Kennedy Expwy E, N Milwaukee Ave, Dan Ryan Expwy E Chicago",Fri Sep 28 01:23:51 2018
1,18 min,16.9 miles,"Kennedy Expwy E, Kennedy Expwy Express Lanes, Dan Ryan Expwy E Chicago",Fri Sep 28 01:24:04 2018
2,25 min,17.3 miles,"Kennedy Expwy E, N Milwaukee Ave, Dan Ryan Expwy E Chicago",Fri Sep 28 01:24:04 2018
1,18 min,16.9 miles,"Kennedy Expwy E, Kennedy Expwy Express Lanes, Dan Ryan Expwy E Chicago",Fri Sep 28 01:24:18 2018
2,25 min,17.3 miles,"Kennedy Expwy E, N Milwaukee Ave, Dan Ryan Expwy E Chicago",Fri Sep 28 01:24:18 2018
1,18 min,16.9 miles,"Kennedy Expwy E, Kennedy Expwy Express Lanes, Dan Ryan Expwy E Chicago",Fri Sep 28 01:24:33 2018
2,26 min,17.3 miles,"Kennedy Expwy E, N Milwaukee Ave, Dan Ryan Expwy E Chicago",Fri Sep 28 01:24:33 2018
1,18 min,16.9 miles,"Kennedy Expwy E, Kennedy Expwy Express Lanes, Dan Ryan Expwy E Chicago",Fri Sep 28 01:24:48 2018
2,26 min,17.3 miles,"Kennedy Expwy E, N Milwaukee Ave, Dan Ryan Expwy E Chicago",Fri Sep 28 01:24:48 2018
1,18 min,16.9 miles,"Kennedy Expwy E, Kennedy Expwy Express Lanes, Dan Ryan Expwy E Chicago",Fri Sep 28 01:25:00 2018
