Route Number,ETA,Distance,Route,Time
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:20:26 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:20:26 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:20:26 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:20:47 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:20:47 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:20:47 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:21:16 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:21:16 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:21:16 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:21:39 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:21:39 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:21:39 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:22:05 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:22:05 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:22:05 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:22:32 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:22:32 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:22:32 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:23:03 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:23:03 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:23:03 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:23:20 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:23:20 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:23:20 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:23:39 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:23:39 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:23:39 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:23:59 2018
2,30 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:23:59 2018
3,31 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:23:59 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:24:20 2018
2,29 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:24:20 2018
3,30 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:24:20 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:24:45 2018
