Route Number,ETA,Distance,Route,Time
1,22 min,22 mi,via I-405,Fri Sep 28 01:20:32 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:20:32 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:20:40 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:20:40 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:20:47 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:20:47 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:20:54 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:20:54 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:21:03 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:21:03 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:21:10 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:21:10 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:21:17 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:21:17 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:21:24 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:21:24 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:21:31 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:21:31 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:21:39 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:21:39 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:21:46 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:21:46 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:21:54 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:21:54 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:22:04 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:22:04 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:22:11 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:22:11 2018
