Route Number,ETA,Distance,Route,Time
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:20:36 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:20:36 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:20:49 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:20:49 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:21:01 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:21:01 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:21:09 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:21:09 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:21:18 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:21:18 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:21:25 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:21:25 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:21:35 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:21:35 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:21:46 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:21:46 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:21:55 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:21:55 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:22:08 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:22:08 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:22:18 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:22:18 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:22:28 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:22:28 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:22:39 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:22:39 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:22:50 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:22:50 2018
1,20min,21.8mi,via I-405 S,Fri Sep 28 01:23:02 2018
2,26min,26.0mi,via CA-91 E,Fri Sep 28 01:23:02 2018
