Route Number,ETA,Distance,Route,Time
1,30 min,21.8 miles,I-405 S Long Beach,Wed Oct  3 23:22:24 2018
2,30 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:22:24 2018
3,27 min,21.6 miles,I-405 S HOV Carson; I-405 S Long Beach,Wed Oct  3 23:22:24 2018
1,30 min,21.8 miles,I-405 S Long Beach,Wed Oct  3 23:22:47 2018
2,30 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:22:47 2018
3,27 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:22:47 2018
1,30 min,21.8 miles,I-405 S Long Beach,Wed Oct  3 23:23:09 2018
2,30 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:23:09 2018
3,27 min,21.8 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:23:09 2018
1,30 min,21.8 miles,I-405 S Long Beach,Wed Oct  3 23:23:31 2018
2,29 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:23:31 2018
3,27 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:23:31 2018
1,30 min,21.8 miles,I-405 S Long Beach,Wed Oct  3 23:23:53 2018
2,30 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:23:53 2018
3,27 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:23:53 2018
1,29 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:24:15 2018
2,31 min,21.8 miles,I-405 S Long Beach,Wed Oct  3 23:24:15 2018
3,27 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:24:15 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:24:38 2018
2,32 min,21.6 miles,I-405 S Carson,Wed Oct  3 23:24:38 2018
3,31 min,29.5 miles,I-105 E HOV Paramount,Wed Oct  3 23:24:38 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:25:01 2018
2,31 min,21.6 miles,I-405 S Carson,Wed Oct  3 23:25:01 2018
3,31 min,29.5 miles,I-105 E HOV Paramount,Wed Oct  3 23:25:01 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:25:23 2018
2,31 min,21.6 miles,I-405 S Carson,Wed Oct  3 23:25:23 2018
3,31 min,29.5 miles,I-105 E HOV Paramount,Wed Oct  3 23:25:23 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:25:45 2018
2,32 min,21.6 miles,I-405 S Carson,Wed Oct  3 23:25:45 2018
3,31 min,29.5 miles,I-105 E HOV Paramount,Wed Oct  3 23:25:45 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:26:08 2018
2,32 min,21.6 miles,I-405 S Carson,Wed Oct  3 23:26:08 2018
3,31 min,29.5 miles,I-105 E HOV Paramount,Wed Oct  3 23:26:08 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:26:30 2018
2,32 min,21.6 miles,I-405 S Carson,Wed Oct  3 23:26:30 2018
3,31 min,29.8 miles,I-105 E HOV Paramount,Wed Oct  3 23:26:30 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:26:52 2018
2,33 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:26:52 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:26:52 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:27:14 2018
2,33 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:27:14 2018
3,29 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:27:14 2018
1,30 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:27:36 2018
2,33 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:27:36 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:27:36 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:27:59 2018
2,33 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:27:59 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:27:59 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:28:21 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:28:21 2018
3,27 min,27.3 miles,SR-91 E HOV,Wed Oct  3 23:28:21 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:28:43 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:28:43 2018
3,29 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:28:43 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:29:05 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:29:05 2018
3,30 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:29:05 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:29:27 2018
2,32 min,22.3 miles,I-405 S Carson; E Willow St Signal Hill,Wed Oct  3 23:29:27 2018
3,30 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Oct  3 23:29:27 2018
1,29 min,27.4 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Oct  3 23:29:49 2018
