Route Number,ETA,Distance,Route,Time
1,24 min,15.4 miles,I-278 W,Fri Sep 28 08:56:54 2018
1,23 min,15.4 miles,I-278 W,Fri Sep 28 08:57:18 2018
1,23 min,15.4 miles,I-278 W,Fri Sep 28 08:57:41 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 08:58:03 2018
1,23 min,15.4 miles,I-278 W,Fri Sep 28 08:58:26 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 08:58:56 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 08:59:23 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 08:59:44 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:00:05 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:00:27 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:00:54 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:01:15 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:01:42 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:02:08 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:02:43 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:03:03 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:03:28 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:03:49 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:04:10 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:04:32 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:04:53 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:05:15 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:05:36 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:05:58 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:06:19 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:06:43 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:07:15 2018
1,24 min,15.4 miles,I-278 W,Fri Sep 28 09:07:34 2018
1,23 min,15.4 miles,I-278 W,Fri Sep 28 09:08:00 2018
1,23 min,15.4 miles,I-278 W,Fri Sep 28 09:08:22 2018
1,23 min,15.4 miles,I-278 W,Fri Sep 28 09:08:43 2018
1,23 min,15.4 miles,I-278 W,Fri Sep 28 09:09:03 2018
1,23 min,15.4 miles,I-278 W,Fri Sep 28 09:09:28 2018
1,22 min,15.4 miles,I-278 W,Fri Sep 28 09:09:50 2018
