Route Number,ETA,Distance,Route,Time
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:00 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:08 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:14 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:21 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:28 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:35 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:41 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:48 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:57:54 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:58:02 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:58:08 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:58:15 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:58:22 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:58:29 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:58:35 2018
1,28 min,15 mi,via I-278,Fri Sep 28 08:58:42 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:58:50 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:58:57 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:59:03 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:59:12 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:59:19 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:59:26 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:59:33 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:59:40 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:59:47 2018
1,26 min,15 mi,via I-278,Fri Sep 28 08:59:53 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:00 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:06 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:13 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:20 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:26 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:33 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:40 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:47 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:00:54 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:01:01 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:01:08 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:01:15 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:01:22 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:01:29 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:01:37 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:01:45 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:01:52 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:02:01 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:02:08 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:02:14 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:02:22 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:02:28 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:02:36 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:02:43 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:02:50 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:02:56 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:03:03 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:03:09 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:03:18 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:03:26 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:03:33 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:03:40 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:03:47 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:03:54 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:00 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:08 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:15 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:22 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:29 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:36 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:43 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:50 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:04:57 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:05:04 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:05:11 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:05:18 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:05:24 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:05:32 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:05:39 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:05:45 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:05:52 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:05:59 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:06:06 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:06:12 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:06:19 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:06:26 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:06:33 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:06:40 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:06:47 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:06:54 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:07:01 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:07:10 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:07:17 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:07:23 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:07:30 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:07:37 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:07:43 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:07:52 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:07:59 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:06 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:12 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:19 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:26 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:33 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:40 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:46 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:53 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:08:59 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:09:06 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:09:13 2018
1,27 min,15 mi,via I-278,Fri Sep 28 09:09:20 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:09:27 2018
1,26 min,15 mi,via I-278,Fri Sep 28 09:09:34 2018
