Route Number,ETA,Distance,Route,Time
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:57:09 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:57:22 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:57:31 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:57:40 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:57:45 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:57:53 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:58:02 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:58:09 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:58:16 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 08:58:27 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:58:36 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:58:45 2018
1,29min,15.5mi,via I-278 W,Fri Sep 28 08:58:58 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 08:59:06 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 08:59:19 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 08:59:26 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 08:59:35 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 08:59:43 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 08:59:48 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 08:59:55 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 09:00:03 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 09:00:09 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 09:00:16 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 09:00:24 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:00:31 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 09:00:41 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:00:51 2018
1,27min,15.5mi,via I-278 W,Fri Sep 28 09:00:58 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:01:07 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:01:14 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:01:21 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:01:29 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:01:42 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:01:48 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:01:58 2018
1,25min,15.5mi,via I-278 W,Fri Sep 28 09:02:07 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:02:13 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:02:26 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:02:34 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:02:45 2018
1,26min,15.5mi,via I-278 W,Fri Sep 28 09:02:51 2018
