routenum,eta,distance,route,time
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:16:14 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:16:25 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:16:35 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:16:46 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:44:33 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:44:44 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:44:59 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:45:20 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:45:43 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:46:00 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:46:19 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:46:43 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:47:06 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:47:28 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:47:49 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:48:13 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:48:33 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:48:48 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:49:07 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:49:30 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:49:47 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:50:09 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:50:25 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:50:41 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:51:00 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:51:19 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:51:40 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:52:00 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:52:24 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:52:45 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:53:05 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:53:26 2018"
1,"18 min","21.1 miles","I-15 S","Wed Sep 26 00:53:47 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:54:10 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:54:31 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:54:52 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:55:07 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:55:25 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:55:47 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:56:10 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:56:31 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:56:53 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:57:16 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:57:35 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:57:55 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:58:10 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:58:28 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:58:49 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:59:09 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:59:30 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 00:59:51 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:00:15 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:00:42 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:01:06 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:01:27 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:01:48 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:02:05 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:02:24 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:02:47 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:03:09 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:03:24 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:03:41 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:03:58 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:04:19 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:04:38 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:05:02 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:05:24 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:05:46 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:06:08 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:06:30 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:06:51 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:07:12 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:07:34 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:07:54 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:08:16 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:08:36 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:08:58 2018"
1,"17 min","21.1 miles","I-15 S","Wed Sep 26 01:09:13 2018"
