routenum,eta,distance,route,time
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:26:56 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:27:11 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:27:24 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:27:33 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:27:39 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:27:48 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:27:57 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:28:04 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:28:13 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:28:20 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:28:28 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:28:41 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:28:49 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:29:05 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:29:10 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:29:18 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:29:26 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:29:32 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:29:39 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:29:46 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:29:54 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:30:01 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:30:09 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:30:17 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:30:26 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:30:35 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:30:50 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:30:56 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:31:04 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:31:12 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:31:18 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:31:25 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:31:33 2018"
1,17min,21.1mi,"via I-15 S","Fri Sep 28 00:31:42 2018"
