routenum,eta,distance,route,time
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:27:02 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:27:02 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:27:20 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:27:20 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:27:34 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:27:34 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:27:47 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:27:47 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:27:59 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:27:59 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:28:12 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:28:12 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:28:24 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:28:24 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:28:38 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:28:38 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:28:54 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:28:54 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:29:09 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:29:09 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:29:21 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:29:21 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:29:34 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:29:34 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:29:48 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:29:48 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:30:01 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:30:01 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:30:14 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:30:14 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:30:26 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:30:26 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:30:41 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:30:41 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:30:56 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:30:56 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:31:09 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 00:31:09 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 00:31:22 2018"
