routenum,eta,distance,route,time
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:20:10 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:20:18 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:44:14 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:44:21 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:44:27 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:44:35 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:44:43 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:44:54 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:45:09 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:45:26 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:45:45 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:46:00 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:46:16 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:46:31 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:46:51 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:47:10 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:47:30 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:47:48 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:48:08 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:48:27 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:48:40 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:48:55 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:49:11 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:49:31 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:49:45 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:50:02 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:50:17 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:50:32 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:50:44 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:50:59 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:51:13 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:51:31 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:51:49 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:52:06 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:52:26 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:52:45 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:53:05 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:53:24 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:53:42 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:54:00 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:54:16 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:54:32 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:54:50 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:55:02 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:55:17 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:55:32 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:55:51 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:56:09 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:56:29 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:56:48 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:57:07 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:57:25 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:57:45 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:57:59 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:58:12 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:58:28 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:58:47 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:59:05 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 00:59:23 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:59:40 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 00:59:56 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:00:15 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:00:33 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:00:52 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:01:10 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:01:29 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:01:47 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:02:01 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:02:14 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:02:30 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:02:47 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:03:07 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:03:20 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:03:32 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:03:48 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:04:07 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:04:25 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:04:41 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:04:57 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:05:16 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:05:34 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:05:53 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:06:11 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:06:30 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:06:48 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:07:08 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:07:27 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:07:46 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:08:05 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:08:20 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:08:36 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:08:55 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:09:07 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:09:22 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:09:37 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:09:55 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:10:14 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:10:32 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:10:51 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:11:09 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:11:29 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:11:48 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:12:03 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:12:16 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:12:32 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:12:51 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:13:09 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:13:23 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:13:35 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:13:51 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:14:10 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:14:28 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:14:45 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:15:00 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:15:19 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:15:36 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:15:49 2018"
1,"32 min","34.0 miles","I-95 N","Wed Sep 26 01:16:04 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:16:20 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:16:38 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:16:56 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:17:15 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:17:34 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:17:47 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:18:00 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:18:16 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:18:35 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:18:52 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:19:11 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:19:25 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:19:36 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:19:53 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:20:12 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:20:32 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:20:52 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:21:12 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:21:30 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:21:48 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:22:03 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:22:20 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:22:39 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:22:56 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:23:16 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:23:35 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:23:53 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:24:06 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:24:20 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:24:35 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:24:54 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:25:12 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:25:32 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:25:51 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:26:12 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:26:31 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:26:52 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:27:05 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:27:17 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:27:35 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:27:53 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:28:06 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:28:19 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:28:34 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:28:53 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:29:12 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:29:26 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:29:43 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:30:01 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:30:13 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:30:28 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:30:43 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:31:01 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:31:19 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:31:37 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:31:57 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:32:09 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:32:23 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:32:38 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:32:57 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:33:10 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:33:23 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:33:39 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:33:52 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:34:06 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:34:20 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:34:39 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:34:57 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:35:10 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:35:23 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:35:39 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:35:52 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:36:05 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:36:20 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:36:39 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:36:58 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:37:17 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:37:38 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:37:56 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:38:15 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:38:29 2018"
1,"31 min","34.0 miles","I-95 N","Wed Sep 26 01:38:47 2018"
