routenum,eta,distance,route,time
1,"35 min","33 mi","via I-95","Wed Sep 26 13:04:18 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:04:18 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:04:26 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:04:26 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:04:33 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:04:33 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:04:41 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:04:41 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:04:48 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:04:48 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:04:54 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:04:54 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:01 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:01 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:08 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:08 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:15 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:15 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:21 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:21 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:28 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:28 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:36 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:36 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:43 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:43 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:49 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:49 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:05:58 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:05:58 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:06:05 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:06:05 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:06:12 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:06:12 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:06:21 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:06:21 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:06:27 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:06:27 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:06:34 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:06:34 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:06:42 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:06:42 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:06:48 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:06:48 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:06:56 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:06:56 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:07:03 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:07:03 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:07:10 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:07:10 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:07:17 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:07:17 2018"
