routenum,eta,distance,route,time
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:04:23 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:04:23 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:04:50 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:04:50 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:05:19 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:05:19 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:05:28 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:05:28 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:05:40 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:05:40 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:05:48 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:05:48 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:05:59 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:05:59 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:06:07 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:06:07 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:06:15 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:06:15 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:06:37 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:06:37 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:06:46 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:06:46 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:06:54 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:06:54 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:07:06 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:07:06 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:07:12 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:07:12 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:07:21 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:07:21 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:07:29 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:07:29 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:07:36 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:07:36 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:07:53 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:07:53 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:08:02 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:08:02 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:08:10 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:08:10 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:08:18 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:08:18 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:08:26 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:08:26 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:08:35 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:08:35 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:08:46 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:08:46 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:08:52 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:08:52 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:09:02 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:09:02 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:09:09 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:09:09 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:09:17 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:09:17 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:09:26 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:09:26 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:09:34 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:09:34 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:09:43 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:09:43 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:09:51 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:09:51 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:09:57 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:09:57 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:10:04 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:10:04 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:10:12 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:10:12 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:10:19 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:10:19 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:10:28 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:10:28 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:10:34 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:10:34 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:10:42 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:10:42 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:10:51 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:10:51 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:10:58 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:10:58 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:11:07 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:11:07 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:11:19 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:11:19 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:11:27 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:11:27 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:11:35 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:11:35 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:11:42 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:11:42 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:11:50 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:11:50 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:11:57 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:11:57 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:12:05 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:12:05 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:12:12 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:12:12 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:12:20 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:12:20 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:12:28 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:12:28 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:12:34 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:12:34 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:12:44 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:12:44 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:12:53 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:12:53 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:13:01 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:13:01 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:13:08 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:13:08 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:13:15 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:13:15 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:13:25 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:13:25 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:13:35 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:13:35 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:13:46 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:13:46 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:13:54 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:13:54 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:14:03 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:14:03 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:14:13 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:14:13 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:14:22 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:14:22 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:14:33 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:14:33 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:14:41 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:14:41 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:14:49 2018"
2,48min,33.0mi,"via US-1 N","Wed Sep 26 13:14:49 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:14:56 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:14:56 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:15:05 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:15:05 2018"
1,30min,33.4mi,"via I-95 N","Wed Sep 26 13:15:12 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:15:12 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:15:21 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:15:21 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:15:33 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:15:33 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:15:41 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:15:41 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:15:49 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:15:49 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:15:57 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:15:57 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:16:06 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:16:06 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:16:21 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:16:21 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:16:32 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:16:32 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:16:42 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:16:42 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:16:56 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:16:56 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:17:03 2018"
2,47min,33.0mi,"via US-1 N","Wed Sep 26 13:17:03 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:17:12 2018"
2,46min,33.0mi,"via US-1 N","Wed Sep 26 13:17:12 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:17:20 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:17:20 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:17:28 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:17:28 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:17:37 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:17:37 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:17:44 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:17:44 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:17:58 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:17:58 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:18:05 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:18:05 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:18:14 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:18:14 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:18:22 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:18:22 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:18:29 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:18:29 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:18:38 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:18:38 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:18:49 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:18:49 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:19:03 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:19:03 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:19:23 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:19:23 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:19:35 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:19:35 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:19:44 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:19:44 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:19:51 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:19:51 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:19:59 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:19:59 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:20:10 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:20:10 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:20:22 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:20:22 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:20:29 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:20:29 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:20:37 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:20:37 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:20:45 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:20:45 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:20:53 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:20:53 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:21:00 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:21:00 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:21:08 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:21:08 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:21:16 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:21:16 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:21:28 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:21:28 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:21:35 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:21:35 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:21:42 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:21:42 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:21:50 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:21:50 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:22:02 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:22:02 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:22:11 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:22:11 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:22:23 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:22:23 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:22:31 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:22:31 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:22:40 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:22:40 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:22:47 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:22:47 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:22:54 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:22:54 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:23:04 2018"
2,44min,33.0mi,"via US-1 N","Wed Sep 26 13:23:04 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:23:12 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:23:12 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:23:19 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:23:19 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:23:27 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:23:27 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:23:35 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:23:35 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:23:43 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:23:43 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:23:50 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:23:50 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:23:58 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:23:58 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:24:10 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:24:10 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:24:18 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:24:18 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:24:24 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:24:24 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:24:31 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:24:31 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:24:39 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:24:39 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:24:49 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:24:49 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:24:55 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:24:55 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:25:04 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:25:04 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:25:12 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:25:12 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:25:18 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:25:18 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:25:27 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:25:27 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:25:37 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:25:37 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:25:45 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:25:45 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:25:52 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:25:52 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:26:00 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:26:00 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:26:07 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:26:07 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:26:15 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:26:15 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:26:25 2018"
2,45min,33.0mi,"via US-1 N","Wed Sep 26 13:26:25 2018"
1,29min,33.4mi,"via I-95 N","Wed Sep 26 13:26:38 2018"
