routenum,eta,distance,route,time
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:04:30 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:04:30 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:04:45 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:04:45 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:04:58 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:04:58 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:05:10 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:05:10 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:05:22 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:05:22 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:05:36 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:05:36 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:05:50 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:05:50 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:06:03 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:06:03 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:06:16 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:06:16 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:06:30 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:06:30 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:06:44 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:06:44 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:06:56 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:06:56 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:07:10 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:07:10 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:07:22 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:07:22 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:07:36 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:07:36 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:07:48 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:07:48 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:08:00 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:08:00 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:08:14 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:08:14 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:08:26 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:08:26 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:08:38 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:08:38 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:08:52 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:08:52 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:09:04 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:09:04 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:09:16 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:09:16 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:09:29 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:09:29 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:09:41 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:09:41 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:09:53 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:09:53 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:10:05 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:10:05 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:10:18 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:10:18 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:10:31 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:10:31 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:10:43 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:10:43 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:10:56 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:10:56 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:09 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:09 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:23 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:23 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:35 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:35 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:47 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:47 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:11:59 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:11:59 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:12:11 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:12:11 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:12:23 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:12:23 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:12:36 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:12:36 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:12:48 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:12:48 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:01 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:13:01 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:13 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:13:13 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:26 2018"
2,"38 min","33.6 miles","I-95 N; Jefferson Davis Hwy Woodbridge","Wed Sep 26 13:13:26 2018"
1,"32 min","33.3 miles","I-95 N","Wed Sep 26 13:13:39 2018"
