routenum,eta,distance,route,time
1,"30 min","16 mi","via I-90","Wed Sep 26 11:53:12 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:53:20 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:53:27 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:53:34 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:53:41 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:53:49 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:53:55 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:02 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:08 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:15 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:22 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:28 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:35 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:42 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:49 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:54:56 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:02 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:10 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:16 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:23 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:30 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:37 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:43 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:50 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:55:56 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:03 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:10 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:16 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:23 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:30 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:37 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:43 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:50 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:56:56 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:57:03 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:57:12 2018"
1,"30 min","16 mi","via I-90","Wed Sep 26 11:57:19 2018"
