routenum,eta,distance,route,time
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:44:52 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:44:52 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:44:52 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:45:28 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:45:28 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:45:28 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:46:07 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:46:07 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:46:07 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:46:48 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:46:48 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:46:48 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:47:34 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:47:34 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:47:34 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:48:16 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:48:16 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:48:16 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:48:46 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:48:46 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:48:46 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:49:24 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:49:24 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:49:24 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:49:59 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:49:59 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:49:59 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:50:31 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:50:31 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:50:31 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:51:02 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:51:02 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:51:02 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:51:36 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:51:36 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:51:36 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:52:12 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:52:12 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:52:12 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:52:51 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:52:51 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:52:51 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:53:28 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:53:28 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:53:28 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:54:09 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:54:09 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:54:09 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:54:52 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:54:52 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:54:52 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:55:21 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:55:21 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:55:21 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:55:54 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:55:54 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:55:54 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:56:34 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:56:34 2018
3,24 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:56:34 2018
1,26 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:57:15 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:57:15 2018
3,23 min,21.6 miles,"I-405 S, I-405 S HOV Carson",Wed Sep 26 00:57:15 2018
1,27 min,21.8 miles,I-405 S Long Beach,Wed Sep 26 00:57:54 2018
2,32 min,27.3 miles,I-405 S Torrance; SR-91 E Bellflower; I-605 S,Wed Sep 26 00:57:54 2018
