routenum,eta,distance,route,time
1,"21 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:41:58 2018"
2,"43 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:41:58 2018"
1,"21 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:42:16 2018"
2,"44 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:42:16 2018"
1,"21 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:42:37 2018"
2,"44 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:42:37 2018"
1,"21 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:43:17 2018"
2,"44 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:43:17 2018"
1,"21 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:43:56 2018"
2,"44 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:43:56 2018"
1,"22 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:44:18 2018"
2,"44 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:44:18 2018"
1,"22 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:47:55 2018"
2,"45 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:47:55 2018"
1,"22 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:48:13 2018"
2,"46 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:48:13 2018"
1,"22 min","15.3 miles","I-278 W / Gowanus Expwy Brooklyn; I-278 W / Staten Island Expwy Staten Island","Thu Sep 27 23:48:32 2018"
2,"46 min","24.3 miles","I-78 W / NJ Turnpike Jersey City","Thu Sep 27 23:48:32 2018"
